Customer ID,Age,Gender,Job,Marital Status,Education,Default,Housing Loan,Personal Loan,Balance,Contact Type,Last Contact Day,Last Contact Month,Last Contact Duration,Num Contacts,Previous Outcome,Campaign Success,Region,Account Tenure,Monthly Income,Account Type,Num Transactions,Marketing Channel,Customer Satisfaction Score,Risk Score,Churn Probability,Savings Amount,Num Dependents,Device Used,Campaign Response
CUST00001,28,Other,Management,Divorced,High School,No,No,Yes,9089.69,Email,12,Feb,154,2,Unknown,Yes,North Tylerborough,6,9056.78,Salary,9,SMS,2.9,719,0.11,93561.82,2,Tablet,Yes
CUST00002,51,Male,Unemployed,Divorced,PhD,No,Yes,No,40888.86,Email,24,Jun,483,3,Success,No,Powellshire,17,2899.85,Salary,34,Email,1.1,705,0.97,43266.92,2,Tablet,No
CUST00003,64,Male,Retired,Single,High School,Yes,No,Yes,22283.0,Email,14,Aug,276,8,Unknown,Yes,West Rebecca,30,5245.76,Savings,31,Phone,8.7,626,0.6,46183.16,4,Mobile,Yes
CUST00004,60,Other,Self-employed,Divorced,Unknown,Yes,No,No,49861.85,SMS,21,Sep,66,9,Success,Yes,South Matthewstad,8,3079.12,Salary,22,Social Media,8.1,528,0.76,5361.57,2,Mobile,No
CUST00005,47,Other,Student,Married,Master's,No,Yes,No,35339.47,SMS,7,Apr,130,1,Failure,Yes,Jessicahaven,11,7427.86,Salary,37,Phone,5.6,734,0.32,85929.3,3,Mobile,No
CUST00006,21,Other,Technician,Divorced,PhD,Yes,Yes,No,35054.9,Email,30,Apr,557,2,Unknown,No,Carlsonmouth,21,9794.6,Savings,36,Social Media,4.1,643,0.66,86297.69,0,Tablet,Yes
CUST00007,67,Female,Management,Single,Bachelor's,No,No,No,6229.83,SMS,11,Mar,80,2,Success,Yes,Port Amybury,11,7001.76,Savings,39,Email,6.3,450,0.9,68731.06,3,Desktop,No
CUST00008,42,Other,Management,Single,PhD,Yes,Yes,Yes,21352.93,Email,5,Mar,352,6,Failure,Yes,Maryberg,14,9979.54,Salary,32,SMS,8.1,642,0.71,33694.44,3,Tablet,No
CUST00009,77,Other,Management,Married,Master's,Yes,No,No,15482.91,Phone,28,Dec,125,1,Success,Yes,Lake Carolyn,24,1802.59,Salary,10,SMS,9.5,714,0.68,43182.64,2,Tablet,Yes
CUST00010,28,Other,Self-employed,Divorced,High School,No,Yes,Yes,43055.76,Phone,16,Dec,510,3,Success,No,Lake Amy,28,3156.81,Savings,27,TV,5.8,308,0.54,74580.45,4,Mobile,Yes
CUST00011,30,Male,Technician,Divorced,High School,No,Yes,No,16381.0,Email,16,May,145,2,Unknown,No,Clarkmouth,26,2377.88,Savings,40,TV,6.3,538,0.75,93429.52,0,Tablet,No
CUST00012,55,Male,Unemployed,Single,Bachelor's,Yes,No,No,13482.4,Phone,7,Nov,590,9,Unknown,No,Williamsmouth,1,4359.6,Current,5,TV,3.2,453,0.57,11393.98,3,Desktop,No
CUST00013,68,Female,Student,Married,High School,Yes,No,Yes,32514.09,Phone,12,Oct,366,4,Failure,Yes,New Christopher,4,3905.27,Salary,41,Phone,8.0,430,0.01,33293.03,3,Tablet,Yes
CUST00014,65,Male,Admin.,Married,Bachelor's,No,Yes,Yes,21894.24,SMS,25,Jun,424,10,Success,No,Sullivanmouth,22,7591.85,Salary,50,TV,7.2,610,0.88,38592.97,0,Tablet,Yes
CUST00015,71,Other,Self-employed,Married,Bachelor's,Yes,Yes,No,26146.53,Phone,9,Dec,359,3,Unknown,No,New Clarencefort,22,9240.18,Salary,31,Email,7.6,633,0.56,62301.17,1,Tablet,No
CUST00016,49,Male,Retired,Married,Bachelor's,No,No,Yes,32032.86,Email,22,Mar,311,6,Success,No,Alexhaven,29,3112.52,Savings,7,TV,5.5,841,0.02,12320.09,3,Mobile,No
CUST00017,35,Female,Admin.,Single,Unknown,Yes,Yes,No,5351.83,Phone,15,Dec,189,6,Unknown,Yes,Nicholasburgh,12,5037.94,Salary,49,Email,4.7,578,0.82,41170.04,1,Mobile,No
CUST00018,46,Other,Technician,Divorced,High School,Yes,Yes,No,2441.02,SMS,30,Jan,339,9,Success,No,Christopherfort,9,4548.54,Salary,23,TV,9.6,517,0.36,69261.23,2,Desktop,No
CUST00019,19,Other,Technician,Divorced,Master's,Yes,Yes,Yes,1815.02,SMS,14,Dec,109,1,Success,Yes,West Jimmyhaven,13,5164.3,Current,40,Phone,9.1,554,0.68,40077.39,2,Tablet,Yes
CUST00020,28,Female,Retired,Divorced,PhD,Yes,Yes,No,47454.54,SMS,4,Sep,327,5,Success,Yes,Hannahfort,18,9418.9,Savings,46,Social Media,2.2,379,0.67,7186.19,2,Mobile,No
