Financial Instrument,Coupon,Maturity,Ratings,Issuer Debt/Equity,Issue Date,Time-To-Maturity (TTM),Payment Frequency,Ask,Ask Yield,Duration %  ,Convexity,Bid
WAL CORP CD 95763PQU8,5.45,May19'25,NoMD,NoMD,Nov 17 '23,0.82,Semi-Annual,NoMD,NoMD,NoMD,NoMD,NoMD
MS CORP CD 61768EMK6,4.3,Oct15'24,,,Oct 13 '22,0.23,Semi-Annual,99.767,5.2780000000000005,0.7141199111938477,0.00515125,99.608
MS CORP CD 61690U6P0,4.9,May27'25,,,May 24 '23,0.84,Semi-Annual,99.954,4.948300000000001,1.3041993379592896,0.017293777,99.761
MTB CORP CD 564759RJ9,4.9,Dec09'24,,,Dec 07 '22,0.38,Semi-Annual,99.841,5.297000000000001,0.8633867502212524,0.007512716,99.691
MS CORP CD 61768EMV2,4.7,Nov04'24,,,Nov 03 '22,0.28,Semi-Annual,100.085,4.3024000000000004,0.7707151174545288,0.005996084,99.673
DFS CORP CD 2546735R3,4.95,Jun13'25,,,Jun 14 '23,0.89,Semi-Annual,100.138,4.7986,0.8824623823165894,0.007846235,99.851
SYF CORP CD 87164WHY7,2.9,May29'25,,,May 29 '15,0.85,Semi-Annual,98.268,5.002000000000001,0.8462125062942505,0.007196296,98.136
DFS CORP CD 254673Z58,4.9,Nov15'24,,,Nov 15 '22,0.31,Semi-Annual,99.878,5.248,0.31506848335266113,0.00099268,99.736
MS CORP CD 61690U3W8,5,Oct07'24,,,Apr 06 '23,0.21,Semi-Annual,99.926,5.287,0.6932803392410278,0.004865884,99.768
FBC CORP CD 33847GJG8,5.3,Sep26'25,,,Jun 27 '24,1.18,Semi-Annual,100.558,4.8,1.391910433769226,0.019679151475429535,99.936
AXP CORP CD 02589ADM1,3.35,Aug12'24,,,Aug 10 '22,0.05,Semi-Annual,100.043,2.5914,0.5410717725753784,0.002968124,99.757
SNDYSB CORP CD 800364ES6,4.5,Feb03'25,,,Feb 01 '23,0.53,Semi-Annual,99.672,5.1290000000000004,0.9918113946914673,0.010100772604346275,99.523
